sno,firstname,lastname,gender,dob,personphone,city,statename,zip,primarylanguage,primaryocc,maxeducationlevel,maritalstatus,productcategory,annualincome,leadquality,datecreated
0,Thomas,Hively,male,1996-12-12,3838404082,New Spencer,Utah,21171,English,Salaried,Doctorate,Married,Auto Insurance,10000,Best,
1,Margaret,Carpenter,female,2001-02-10,5607096137,Rebeccabury,Idaho,19228,English,Salaried,Undergraduate,Unmarried,Home Insurance,77000,Poor,
2,Hector,Kiehl,male,1969-11-03,2155498651,Lopezborough,Alabama,79157,English,Salaried,Doctorate,Married,Auto Insurance,40000,Average,
3,Patricia,Schleich,female,1955-10-19,9070615209,Figueroaview,Georgia,33806,English,Salaried,Doctorate,Widowed,Life Insurance,43000,Poor,
4,Wilford,Skelley,male,1945-06-02,7424223780,Lake Kathyview,Oklahoma,21891,English,Salaried,Doctorate,Married,Life Insurance,85000,Best,
5,Teresa,Matusz,female,1993-02-10,6554748189,West Gabrielaberg,Virginia,60130,English,Business,Postgraduate,Unmarried,Auto Insurance,79000,Poor,
6,Tom,Hunter,male,1964-05-21,5702972392,Lake Janet,Rhode Island,55557,English,Salaried,Doctorate,Divorced,Home Insurance,85000,Best,
7,James,Wilson,male,1956-04-24,9549404160,South Maria,Washington,14837,English,Salaried,Doctorate,Married,Auto Insurance,68000,Poor,
8,Wendell,Bob,male,1998-06-15,8278927905,North Alyssahaven,Pennsylvania,897,English,Salaried,Undergraduate,Unmarried,Auto Insurance,78000,Poor,
9,Garrett,Reed,male,1999-02-24,8986459346,Petersonshire,Virginia,44721,English,Salaried,Postgraduate,Unmarried,Home Insurance,89000,Poor,
10,Georgia,Johnson,female,1985-12-24,2110894911,New Heather,Maryland,49441,English,Salaried,Undergraduate,Married,Disability Insurance,52000,Best,
11,Corey,Thompson,male,1967-01-10,8669574663,New Ericbury,North Carolina,43976,English,Self employed,Secondary school,Divorced,Auto Insurance,14000,Average,
12,Marjorie,Johnson,female,1944-07-25,1065309396,Camposbury,Texas,84915,English,Salaried,Doctorate,Married,Auto Insurance,50000,Poor,
13,Gloria,Voigt,female,2001-08-19,5303765704,Haroldborough,California,89260,English,Self employed,Secondary school,Married,Auto Insurance,33000,Poor,
14,Nick,Miller,male,1945-08-04,6795566735,Seanton,Texas,61246,English,Salaried,Doctorate,Widowed,Disability Insurance,78000,Poor,
15,Andrea,Brimfield,female,1956-07-10,5218591879,South Monica,California,69368,English,Salaried,Undergraduate,Divorced,Auto Insurance,40000,Best,
16,Douglas,Callahan,male,1973-08-14,2562432704,Robertburgh,Utah,97728,English,Salaried,Doctorate,Married,Home Insurance,85000,Poor,
17,Mark,Harter,male,1966-08-26,5983719762,South Nicoleport,Iowa,16977,English,Salaried,Doctorate,Married,Life Insurance,44000,Best,
18,Arlene,Morales,female,1986-01-15,6249875165,Aaronville,Arizona,64338,English,Salaried,Undergraduate,Widowed,Disability Insurance,47000,Poor,
19,Lorraine,Linton,female,1992-07-22,3956643118,Port Chad,Minnesota,29540,English,Salaried,Undergraduate,Unmarried,Home Insurance,60000,Average,
20,Carrie,Lucas,female,1983-07-04,1394133759,Port Erikborough,Kentucky,63183,English,Business,Postgraduate,Married,Disability Insurance,66000,Average,
21,Julia,Downin,female,1954-03-26,9176298932,Melissaport,New Mexico,65713,English,Salaried,Undergraduate,Widowed,Disability Insurance,54000,Average,
22,Karen,Lee,female,1966-02-09,4622223669,Woodsfurt,Massachusetts,54082,English,Salaried,Doctorate,Divorced,Home Insurance,48000,Poor,
23,Sarah,Lea,female,1951-03-07,2932062668,West Shirley,Connecticut,81357,English,Salaried,Postgraduate,Married,Auto Insurance,89000,Best,
24,Jason,Mccoy,male,1981-02-18,1171735765,Lake Shawn,South Dakota,93842,English,Business,Postgraduate,Widowed,Life Insurance,76000,Best,
25,Leigh,Bailey,female,1982-05-01,6680415373,Carlyberg,Nebraska,23026,English,Self employed,Secondary school,Widowed,Disability Insurance,33000,Best,
26,Cory,Medina,male,1986-01-14,6933563265,East Charlesbury,Michigan,16911,English,Salaried,Undergraduate,Married,Home Insurance,56000,Poor,
27,Sarah,Overton,female,1953-10-25,9059123116,Copelandside,Colorado,82958,English,Business,Postgraduate,Married,Auto Insurance,76000,Best,
28,Ashley,Sutton,female,2000-11-14,3680263907,Smithville,Nevada,42916,English,Salaried,Doctorate,Unmarried,Life Insurance,72000,Poor,
29,Lucy,Bowmer,female,1983-01-25,8581117349,Port Shaun,Louisiana,23389,English,Business,Postgraduate,Divorced,Disability Insurance,62000,Best,
30,Josephine,Hildreth,female,1956-10-07,5247477935,Hollowayberg,Rhode Island,38898,English,Salaried,Undergraduate,Married,Auto Insurance,45000,Poor,
31,Robert,Peter,male,1955-09-15,7059605880,West Stephanieside,Iowa,52878,English,Salaried,Postgraduate,Married,Disability Insurance,61000,Best,
32,Shonna,Wright,female,1954-08-01,3951422831,Earlmouth,Alabama,27426,English,Business,Postgraduate,Married,Life Insurance,84000,Average,
33,Steven,Meade,male,1976-06-10,1672596264,South Jonathanfort,Wyoming,6566,English,Self employed,Secondary school,Married,Life Insurance,16000,Average,
34,Johnny,Herrmann,male,1978-07-25,9549826358,Angelashire,Louisiana,34861,English,Self employed,Secondary school,Married,Life Insurance,12000,Poor,
35,Nicholas,Glenn,male,1942-04-25,1054508697,Riverafort,Wisconsin,41555,English,Salaried,Undergraduate,Married,Home Insurance,80000,Best,
36,Colin,Mercado,male,1954-10-18,8785017486,Nelsonstad,Hawaii,51146,English,Salaried,Postgraduate,Divorced,Disability Insurance,57000,Average,
37,Erika,Smith,female,1952-05-28,8274982912,Port Thomastown,Oklahoma,68224,English,Salaried,Undergraduate,Married,Auto Insurance,83000,Average,
38,Chana,Shutt,female,1994-11-07,6985569845,South Rachael,Ohio,94234,English,Salaried,Undergraduate,Unmarried,Auto Insurance,68000,Average,
39,Regina,Shaw,female,1949-01-24,9356801590,Rochaport,Tennessee,71016,English,Self employed,Elementary school,Widowed,Auto Insurance,22000,Average,
40,John,Baker,male,1958-07-01,5529099140,Cynthiafort,Georgia,36097,English,Salaried,Undergraduate,Widowed,Disability Insurance,73000,Poor,
41,Joseph,Hagler,male,1995-07-20,8345228991,East Joshua,Montana,49507,English,Salaried,Undergraduate,Unmarried,Life Insurance,49000,Average,
42,Ramona,Soto,female,1959-04-19,9895522877,Priceton,Kansas,99666,English,Business,Postgraduate,Married,Auto Insurance,79000,Average,
43,Donald,Howell,male,2001-08-16,7914620104,East Timothymouth,Virginia,25477,English,Self employed,Secondary school,Unmarried,Home Insurance,24000,Average,
44,Emma,Christian,female,1978-08-21,4994628097,Port Connor,South Dakota,97075,English,Self employed,Secondary school,Married,Auto Insurance,6000,Best,
45,Jade,Sofranko,female,1963-11-02,6392734967,Troychester,Texas,76888,English,Business,Postgraduate,Widowed,Life Insurance,85000,Best,
46,Richard,Nunez,male,1963-06-30,7946962302,West Robert,Maine,87485,English,Salaried,Doctorate,Married,Disability Insurance,83000,Average,
47,Joseph,Hagler,male,1995-07-20,8345228991,East Joshua,Montana,49507,English,Salaried,Undergraduate,Unmarried,Disability Insurance,49000,Average,
48,Brian,Petrowski,male,1995-09-21,3367091813,West Michael,Louisiana,24634,English,Salaried,Undergraduate,Married,Life Insurance,62000,Average,
49,Effie,Rodriquez,female,1968-06-25,3744823032,East Mitchellburgh,Louisiana,84125,English,Salaried,Undergraduate,Widowed,Life Insurance,84000,Poor,
50,Eric,Dejesus,male,1984-10-10,1805916337,Brettmouth,Pennsylvania,50574,English,Unemployed,Elementary school,Married,Home Insurance,1000,Poor,
51,Chester,Bruce,male,1968-04-14,6788062324,West Robert,Florida,6214,English,Salaried,Doctorate,Married,Home Insurance,77000,Best,
52,Donald,Howell,male,2001-08-16,7914620104,East Timothymouth,Virginia,25477,English,Self employed,Secondary school,Unmarried,Life Insurance,24000,Average,
53,Dorothy,Mock,female,1990-02-09,9757557518,East Lisafort,Louisiana,85108,English,Self employed,Secondary school,Married,Home Insurance,1000,Poor,
54,Gilberto,Barber,male,1944-08-04,6670830766,Port Brianna,Iowa,92536,English,Salaried,Undergraduate,Divorced,Auto Insurance,88000,Best,
55,Billie,Constantino,female,1978-03-25,5193900287,North Patrickland,Wyoming,44591,English,Salaried,Undergraduate,Married,Auto Insurance,60000,Poor,
56,Phillip,Burke,male,1977-10-25,7991038471,Cantrellmouth,Maryland,49114,English,Self employed,Secondary school,Widowed,Life Insurance,34000,Best,
57,Jeannette,Jimenez,female,1971-05-07,9200553256,Frankfurt,Kansas,58788,English,Salaried,Postgraduate,Married,Home Insurance,50000,Poor,
58,Vicki,Kiefer,female,1949-12-25,7597347538,Paulmouth,Oregon,78270,English,Unemployed,Secondary school,Divorced,Disability Insurance,1000,Poor,
59,Brenda,Prado,female,1967-06-12,3188045264,Lake Cody,Wyoming,61248,English,Self employed,Secondary school,Married,Life Insurance,31000,Poor,
60,Judy,Frick,female,1965-08-04,3914525212,Port Angela,Arkansas,95459,English,Business,Postgraduate,Widowed,Life Insurance,88000,Poor,
61,Sarah,Goodwin,female,1953-05-02,8649152896,Brockport,Wisconsin,49425,English,Business,Postgraduate,Married,Disability Insurance,86000,Best,
62,Harvey,Small,male,1972-12-17,7834055097,Amandaton,Rhode Island,48233,English,Salaried,Postgraduate,Married,Auto Insurance,51000,Best,
63,Gilberto,Barber,male,1944-08-04,6670830766,Port Brianna,Iowa,92536,English,Salaried,Undergraduate,Divorced,Home Insurance,88000,Best,
64,James,Brown,male,1980-12-06,1410570979,Lake Cody,Kansas,95655,English,Salaried,Undergraduate,Widowed,Home Insurance,85000,Average,
65,Barbara,Andersen,female,1952-10-19,3803196005,Lake Elizabeth,West Virginia,72499,English,Salaried,Undergraduate,Divorced,Auto Insurance,49000,Poor,
66,Lenna,Parton,female,1989-10-04,3495322406,New Destiny,Arkansas,14292,English,Business,Postgraduate,Unmarried,Auto Insurance,89000,Best,
67,Mitchell,Seago,male,1954-06-16,6061239870,Port Andreaside,Nevada,20185,English,Salaried,Postgraduate,Married,Auto Insurance,30000,Best,
68,Gerald,Thornton,male,1975-05-26,9990641390,Joneston,Arkansas,90831,English,Salaried,Undergraduate,Divorced,Auto Insurance,84000,Poor,
69,Joyce,Fowler,female,1989-03-11,7131955479,Davidsonmouth,Hawaii,82462,English,Salaried,Doctorate,Divorced,Life Insurance,74000,Best,
70,Mark,Dutcher,male,1974-09-13,9808944091,South Ryanville,Texas,1170,English,Business,Postgraduate,Married,Home Insurance,83000,Average,
71,Stephanie,Diaz,female,1943-08-24,6958686956,Martinezland,North Carolina,24058,English,Salaried,Undergraduate,Married,Auto Insurance,52000,Average,
72,Whitney,Rodriquez,female,1955-12-24,2463430949,Tonyview,Louisiana,17204,English,Business,Postgraduate,Married,Home Insurance,84000,Best,
73,Kamilah,Prentice,female,1970-06-12,6658750131,Jeffreychester,Kentucky,33308,English,Unemployed,Secondary school,Married,Auto Insurance,3000,Best,
74,Michael,Rodgers,male,1955-05-04,3723204460,Collinsville,Kentucky,93201,English,Salaried,Undergraduate,Divorced,Home Insurance,88000,Poor,
75,Gilberto,Barber,male,1944-08-04,6670830766,Port Brianna,Iowa,92536,English,Salaried,Undergraduate,Divorced,Home Insurance,88000,Best,
76,Nancy,Parker,female,1972-02-02,4467455980,Fritzside,Louisiana,49546,English,Salaried,Undergraduate,Married,Life Insurance,71000,Average,
77,Joseph,Hagler,male,1995-07-20,8345228991,East Joshua,Montana,49507,English,Salaried,Undergraduate,Unmarried,Life Insurance,49000,Average,
78,Mathilde,Greenwood,female,1996-09-13,3085422001,Jessicabury,Ohio,3982,English,Salaried,Doctorate,Unmarried,Home Insurance,72000,Poor,
79,Ferdinand,Metz,male,1946-08-21,9595320221,East Annafort,Vermont,86768,English,Salaried,Undergraduate,Married,Disability Insurance,40000,Best,
80,Shannon,Gant,female,1941-10-05,3452373896,Davidbury,Connecticut,95934,English,Unemployed,Secondary school,Widowed,Auto Insurance,1000,Average,
81,Adam,Rouse,male,1998-02-11,1282774945,North Katietown,Arkansas,54005,English,Self employed,Undergraduate,Married,Disability Insurance,90000,Poor,
82,Kevin,Hagan,male,1975-10-09,9295743513,West Juliaberg,Nebraska,55889,English,Salaried,Undergraduate,Married,Auto Insurance,79000,Average,
83,Marilyn,Gilbert,female,1944-02-05,6607298349,Cookland,North Carolina,67724,English,Business,Postgraduate,Married,Disability Insurance,75000,Best,
84,William,Melton,male,1952-08-01,4405717996,Ryanborough,Maine,1006,English,Salaried,Undergraduate,Married,Home Insurance,84000,Poor,
85,Brian,Petrowski,male,1995-09-21,3367091813,West Michael,Louisiana,24634,English,Salaried,Undergraduate,Married,Auto Insurance,62000,Average,
86,Steven,Meade,male,1976-06-10,1672596264,South Jonathanfort,Wyoming,6566,English,Self employed,Secondary school,Married,Life Insurance,16000,Average,
87,Kathleen,Urreta,female,1966-02-01,2779014465,Taylormouth,South Carolina,88173,English,Salaried,Undergraduate,Divorced,Auto Insurance,45000,Poor,
88,Charles,Walker,female,1944-11-17,4030805685,Tiffanybury,Montana,6844,English,Self employed,Secondary school,Widowed,Life Insurance,30000,Best,
89,Kamilah,Prentice,female,1970-06-12,6658750131,Jeffreychester,Kentucky,33308,English,Unemployed,Secondary school,Married,Disability Insurance,3000,Best,
